,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
0, Cruisers,Power,Other,,Other,Other,,320',"N Tonawanda, NY",Sea Ray,,Other,2006,Sea Ray,320 Sundancer,"$99,995",2006
1, Deck Boats,Power,Other,,Other,Other,,263',"Tafton, PA",Stingray Boats,,Other,2012,Stingray Boats,215LR,"$27,900",2012
2, Jet Boats,Power,,YB0189I,Fiberglass,Deep Vee,,240',"Staten Island, NY",Yamaha Sport Boat,,Other,2016,Yamaha Sport Boat,SX240,"$45,999",2016
3, Commercial Boats,Power,Diesel,,Steel,,,197',"Troy, NY",Blount,,Other,1987,Blount,Luxury Dinner Yacht (GPC),"$2,950,000",1987
4," Jet Boats, Bowrider",Power,Gas,YB0273D,Fiberglass,Deep Vee,,190',"Staten Island, NY",Yamaha Sport Boat,,Other,2016,Yamaha Sport Boat,190 FSH DELUXE,"$26,999",2016
5, Jet Boats,Power,Gas,YB0095L,Fiberglass,Deep Vee,,190',"Staten Island, NY",Yamaha Sport Boat,,Other,2016,Yamaha Sport Boat,190 FSH SPORT,"$27,999",2016
6," Multi-Hulls, Catamaran",Sails,Diesel,,Composite,,,125',"Long Island, NY",Aeroyacht,,Other,2013,Aeroyacht,125,"$28,303,680",2013
7," Jet Boats, Mega Yachts",Power,Diesel,,Composite,Planing,2 year,116',"New York, NY",Ab Yachts,,Other,2012,Ab Yachts,116,"$14,000,000",2012
8, Motor Yachts,Power,Diesel,,Fiberglass,,,112',"Long Island, NY",Westport,,Twin Inboard,1999,Westport,Raised Pilothouse MY,"$3,950,000",1999
9, Mega Yachts,Power,Diesel,4,Fiberglass,Modified Vee,,94',"New York, NY",Ferretti Custom Line,,Twin Inboard,2000,Ferretti Custom Line,94,"$1,999,000",2000
10," Multi-Hulls, Racers and Cruisers",Sails,Diesel,,Composite,,,85',"Long Island, NY",Aeroyacht,,Other,2013,Aeroyacht,85,"$10,480,000",2013
11, Motor Yachts,Power,Diesel,,Fiberglass,,,75',"Stony Point, NY",Viking Sport Cruisers,,Other,2006,Viking Sport Cruisers,75 Motor Yacht,"$1,195,000",2006
12," Motor Yachts, Pilothouse, Flybridge",Power,Diesel,HATGK822G102,Fiberglass,,,75',"Jersey City, NJ",Hatteras,,Twin Inboard,2002,Hatteras,75 Motoryacht,"$1,199,000",2002
13, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,70',"Huntington, NY",Ferretti,,Other,2016,Ferretti,700,Request,2016
14, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,68',"Long Island, NY",Azimut,,Twin Inboard,2006,Azimut,68S,"$774,000",2006
15," Unspecified, Other",Power,Gas,,Other,Other,,68',"Lake Raystown, PA",SUMERSET HOUSEBOATS,,Twin Inboard,2008,SUMERSET HOUSEBOATS,68,"$258,000",2008
16," Motor Yachts, Flybridge",Power,Diesel,,Fiberglass,,,68',"Staten Island, NY",Prestige Yachts,,Other,2018,Prestige Yachts,680 Fly,Request,2018
17," Motor Yachts, Flybridge",Power,Diesel,,Fiberglass,Deep Vee,,68',"Glen Cove, NY",Princess,,Twin Inboard,2017,Princess,68,"$3,495,000",2017
18," Flybridge, Motor Yachts",Power,Diesel,,Fiberglass,,,68',"Port Washington, NY",Sunseeker,,Twin Inboard,2017,Sunseeker,68 Sport Yacht,Request,2017
19," Flybridge, Motor Yachts",Power,,,Fiberglass,,,66',"Port Washington, NY",Sunseeker,,Other,2017,Sunseeker,Manhattan 66,Request,2017
20, Flybridge,Power,Diesel,,Fiberglass,,,65',Freeport,Hatteras,,Twin Inboard,1988,Hatteras,Flybridge Convertible,"$209,000",1988
21, Motor Yachts,Power,Diesel,,Fiberglass,,,65',"New York, NY",Marquis Yachts,,Other,2006,Marquis Yachts,65 Motor Yacht Skylounge,"$1,049,000",2006
22, Motor Yachts,Power,Diesel,,Fiberglass,,,65',"Stamford (july-aug), CT",Outer Reef,,Twin Inboard,2008,Outer Reef,Motor Yacht,"$1,475,000",2008
23," Flybridge, Sports Cruiser",Power,Diesel,,Fiberglass,,,65',"Glen Cove, NY",Princess,,Other,2016,Princess,S65 Sportbridge,"$2,795,000",2016
24," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,,,65',Staten Island,Viking,,Other,2003,Viking,65 Convertible,"$995,000",2003
25," Express Cruiser, Motor Yachts",Power,Diesel,,Fiberglass,,,63',"Enroute To Staten Island, NY",Prestige Yachts,,Other,2018,Prestige Yachts,630 S,Request,2018
26, Express Cruiser,Power,Diesel,,Fiberglass,,,63',"Stamford, CT",Sea Ray,,Twin Inboard,1998,Sea Ray,630 Super Sun Sport,"$389,000",1998
27," Motor Yachts, Flybridge",Power,Diesel,,Fiberglass,,,62',"Enroute To Staten Island, NY",Maritimo Yachts,,Other,2018,Maritimo Yachts,M62,Request,2018
28," Motor Yachts, Downeast",Power,Diesel,,Fiberglass,Modified Vee,,62',"Norwalk, CT",Offshore,,Twin Inboard,1999,Offshore,62 Pilot House,"$795,000",1999
29," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Displacement,,61',"City Island, NY",Birchwood,,Twin Inboard,1989,Birchwood,61 Motor Yacht TS/54,"$259,000",1989
30," Motor Yachts, Flybridge",Power,Diesel,Hatteras MY,Fiberglass,,,61',"Norwalk, CT",Hatteras,,Twin Inboard,1981,Hatteras,61 Motor Yacht,"$249,995",1981
31, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,61',"Staten Island, NY",Viking,,Twin Inboard,2001,Viking,Convertible,"$834,000",2001
32, Cruisers,Sails,Diesel,,Fiberglass,,,60',Norwalk,Beneteau,,Other,2017,Beneteau,Oceanis 60,Request,2017
33, Convertible Boats,Power,Diesel,,Composite,,,60',"Queens, NY",Carolina Custom,,Twin Inboard,2012,Carolina Custom,60 Sportfish,"$1,950,000",2012
